url;title;price_previous;price_current;seller;seller_sales;qtd_available;scraped_at
https://www.mercadolivre.com.br/placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6/p/MLB33477379#polycard_client=search-nordic&wid=MLB3804569337&sid=search&searchVariation=MLB33477379&position=6&search_layout=grid&type=product&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex Oc 6gb Gddr6;R$1.549,35;R$1.254,97;Lalligator shop;+5mil vendas;+10 disponíveis;30/11/2024 00:24:40
https://produto.mercadolivre.com.br/MLB-4587570834-vga-galax-gf-rtx3050-6gb-ex-gddr6-96bits-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Vga Galax Gf Rtx3050 6gb Ex Gddr6 96bits;1.364;R$1.364;Favs;+5mil vendas;+50 disponíveis;30/11/2024 00:24:41
https://produto.mercadolivre.com.br/MLB-4935606470-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-6gb-gddr6-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex 6gb Gddr6;R$1.561,71;R$1.264,99;Lalligator shop;+5mil vendas;+10 disponíveis;30/11/2024 00:24:41
https://produto.mercadolivre.com.br/MLB-3920001161-placa-de-video-galax-geforce-rtx-3050-ex-6gb-gddr6-96-bit-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Video Galax Geforce Rtx 3050 Ex, 6gb, Gddr6, 96-bit;R$1.870,41;R$1.731,99;Lnvidia;+100mil vendas;+50 disponíveis;30/11/2024 00:24:42
https://produto.mercadolivre.com.br/MLB-5166511302-placa-de-video-galaxy-geforce-rtx3050-6gb-gddr6-128-bits-oc-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Video Galaxy Geforce Rtx3050 6gb Gddr6 128 Bits Oc;1.587;R$1.587,97;Pirabolim;+100 vendas;2 disponíveis;30/11/2024 00:24:42
https://produto.mercadolivre.com.br/MLB-3650599369-geforce-rtx-3050-6gb-gddr6-96-bits-galax-ex-series-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Geforce Rtx 3050 6gb Gddr6 96 Bits - Galax Ex Series;1.989;R$1.989,99;Oficina_dos_bits;+1000 vendas;+5 disponíveis;30/11/2024 00:24:43
https://produto.mercadolivre.com.br/MLB-3897605919-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex Oc 6gb Gddr6;1.680;R$1.680;Efacini;Mercadolíder | +10mil vendas;+10 disponíveis;30/11/2024 00:24:44
https://produto.mercadolivre.com.br/MLB-5194746180-geforce-rtx-3050-6gb-gddr6-96-bits-galax-ex-series-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Geforce Rtx 3050 6gb Gddr6 96 Bits - Galax Ex Series;2.188;R$2.188,99;Linfoclub;+10mil vendas;+5 disponíveis;30/11/2024 00:24:44
https://produto.mercadolivre.com.br/MLB-5048239410-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Vídeo Galax Nvidia Geforce Rtx 3050 Ex Oc 6gb Gddr6;1.599;R$1.599;Ac3informatica;+100 vendas;Último disponível!;30/11/2024 00:24:45
https://produto.mercadolivre.com.br/MLB-4626013354-placa-de-video-rtx-3050-ex-6gb-96bits-gddr6-35nrldmd9oex-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=6ce55467-e158-4557-9a88-1f1fe28baa01;Placa De Video Rtx 3050 Ex 6gb 96bits Gddr6 - 35nrldmd9oex;1.964;R$1.964,99;Comtek tecnologia;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:24:45
