mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB/count?a=LG1K%2F5hsCrJBJmOkan4wBtYC6PxLXJ3IJxvwO3tJdTQlFdGGNymAZKyzzW5TLYgnLVVaNU40j%2Fcdq49yr1Cgr3rj8wdS6%2BMNT25NkImjCpsLRIXd74cZeq8RHq2kBjTnpB0S8ihjGm2AcSo9B1Vm%2BHLpPGKZwzmQiuoOkewL%2BwxHBD%2BGGhPnIVpNzwqD0ctbAfMqp28psZnXaykPrSnbNsHn6LAy1I0yZdiMuAH2B5OUUHzrZhLinDhldI7G6Oukj8ZdgXTLeaV%2Ffj5vMYm36bG6ZQbP%2B6uZOPNegVZjTB2XdGlW5cie9SpRCl5pPLHZzy0kMxrmcp0nBy5aKTq7l2bOVDhgYPKxPi1nS0vmyOcM8ZRrn6sn4zOgYktj0U9YjAfwYkJP%2BeKHlwRCFPJdZUVsqIVLLdimEhy1UPuThMqXH1uz6Atthdf1i4r3IlxQqvfTK2yBDpTQbWdRx8pb2mduHDqnRoFwlpSPf5IPTCrMHAHd85w%2Bnt7gBUV41g9Vq6z4qPrDUAeg3VL0QKM4Uwbs6EJZNPvht1xbHxFLcaMk7rOVt2EYRe2c%2FMhVJWhHKO3lWkcSfVOiLeXWTgZNWci8%2BhBVxzUz2dvASMIMxJjKED56Qn8rH4qc6KWPynKBOo%2B5jY2bR1pg0NmjTvvZxU8%2BJyy1xZN7A18ZL5Ji4JqG7%2Bb3dyPdcZgUz8pfePmQfQ%3D%3D&rb=x;Dual cooler p\ placa d video evga rtx 3050 3060 3060 ti xc;N/A;Premium;R$ 396,00;R$ 396,00;0%;em 10x R$39,60 sem juros;29/11/2024 09:51;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LG1K%2F5hsCrJBJmOkan4wBtYC6PxLXJ3IJxvwO3tJdTQlFdGGNymAZKyzzW5TLYgnLVVaNU40j%2Fcdq49yr1Cgr3rj8wdS6%2BMNT25NkImjCpsLRIXd74cZeq8RHq2kBjTnpB0S8ihjGm2AcSo9B1Vm%2BHLpPGKZwzmQiuoOkewL%2BwxHBD%2BGGhPnIVpNzwqD0ctbAfMqp28psZnXaykPrSnbNsHn6LAy1I0yZdiMuAH2B5OUUHzrZhLinDhldI7G6Oukj8ZdgXTLeaV%2Ffj5vMYm36bG6ZQbP%2B6uZOPNegVZjTB2XdGlW5cie9SpRCl5pPLHZzy0kMxrmcp0nBy5aKTq7l2bOVDhgYPKxPi1nS0vmyOcM8ZRrn6sn4zOgYktj0U9YjAfwYkJP%2BeKHlwRCFPJdZUVsqIVLLdimEhy1UPuThMqXH1uz6Atthdf1i4r3IlxQqvfTK2yBDpTQbWdRx8pb2mduHDqnRoFwlpSPf5IPTCrMHAHd85w%2Bnt7gBUV41g9Vq6z4qPrDUAeg3VL0QKM4Uwbs6EJZNPvht1xbHxFLcaMk7rOVt2EYRe2c%2FMhVJWhHKO3lWkcSfVOiLeXWTgZNWci8%2BhBVxzUz2dvASMIMxJjKED56Qn8rH4qc6KWPynKBOo%2B5jY2bR1pg0NmjTvvZxU8%2BJyy1xZN7A18ZL5Ji4JqG7%2Bb3dyPdcZgUz8pfePmQfQ%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_637024-MLB76163585899_052024-E.webp
MLB37776074;Placa de vídeo msi geforce rtx 3050 oc 6gb lp gddr6 96bits;N/A;Premium;R$ 1.399,00;R$ 1.343,00;no Pix;ou R$1.399 em 10x R$139,90 sem juros;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-oc-6gb-lp-gddr6-96bits/p/MLB37776074#polycard_client=search-nordic&wid=MLB5167687012&sid=search&searchVariation=MLB37776074&position=6&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_975754-MLU77053490853_062024-E.webp
MLB35098924;Placa de vídeo galax nvidia rtx 3050 8gb gddr6 128bit;Olist;Classic;R$ 3.833,00;R$ 3.833,00;0%;em 12x R$368,44;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-galax-nvidia-rtx-3050-8gb-gddr6-128bit/p/MLB35098924#polycard_client=search-nordic&wid=MLB4689848718&sid=search&searchVariation=MLB35098924&position=8&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_682289-MLU75469544111_032024-E.webp
MLB37546441;Placa de vídeo asus dual geforce rtx 3050 6gb gddr6 96bits;N/A;Classic;R$ 1.255,00;R$ 1.255,00;0%;em 12x R$121,41;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-asus-dual-geforce-rtx-3050-6gb-gddr6-96bits/p/MLB37546441#polycard_client=search-nordic&wid=MLB3907668191&sid=search&searchVariation=MLB37546441&position=9&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_622403-MLU78366662549_082024-E.webp
MLB34284188;Placa de video msi geforce rtx 3050 ventus 2x oc, 6gb, gddr6, 96-bit, 912-v812-016-nac;N/A;Classic;R$ 1.432,00;R$ 1.432,00;0%;em 12x R$138,56;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-oc-6gb-gddr6-96-bit-912-v812-016-nac/p/MLB34284188#polycard_client=search-nordic&wid=MLB5068279554&sid=search&searchVariation=MLB34284188&position=11&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_615817-MLU78851410259_082024-E.webp
MLB39959497;Placa de vídeo zotac nvidia geforce rtx 3050 6gb gddr6 dlss;N/A;Premium;R$ 1.471,00;R$ 1.192,00;18% OFF;em 10x R$125,95 sem juros;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-zotac-nvidia-geforce-rtx-3050-6gb-gddr6-dlss/p/MLB39959497#polycard_client=search-nordic&wid=MLB3908395335&sid=search&searchVariation=MLB39959497&position=13&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_881187-MLU78827441764_092024-E.webp
MLB35154245;Placa de vídeo msi geforce rtx 3050 gaming x 6g;N/A;Premium;R$ 2.913,00;R$ 2.913,00;0%;em 10x R$291,39 sem juros;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-gaming-x-6g/p/MLB35154245#polycard_client=search-nordic&wid=MLB3893470333&sid=search&searchVariation=MLB35154245&position=4&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_988926-MLU75482979777_032024-E.webp
MLB-3686107917;Placa de vídeo asus nvidia geforce rtx3050 oc 6gb gddr6;Login;Premium;R$ 1.599,00;R$ 1.599,00;0%;em 10x R$159,90 sem juros;29/11/2024 09:51;https://produto.mercadolivre.com.br/MLB-3686107917-placa-de-video-asus-nvidia-geforce-rtx3050-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_717508-MLB76104947618_052024-E.webp
MLB29581594;Rtx 3050 ventus 2x xs oc 8gb gddr6 0111526-01 msi;N/A;Premium;R$ 1.761,00;R$ 1.761,00;0%;em 10x R$189,20 sem juros;29/11/2024 09:51;https://www.mercadolivre.com.br/rtx-3050-ventus-2x-xs-oc-8gb-gddr6-0111526-01-msi/p/MLB29581594#polycard_client=search-nordic&wid=MLB4699294400&sid=search&searchVariation=MLB29581594&position=5&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_717230-MLU73803189168_012024-E.webp
MLB40164061;Placa de vídeo msi geforce rtx 3050 ventus 2x 6g oc;N/A;Premium;R$ 2.470,00;R$ 1.482,00;40% OFF;em 10x R$148,20 sem juros;29/11/2024 09:51;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-ventus-2x-6g-oc/p/MLB40164061#polycard_client=search-nordic&wid=MLB5109800166&sid=search&searchVariation=MLB40164061&position=7&search_layout=grid&type=product&tracking_id=8b09a517-6bc7-4f87-858f-f12f8e011356;https://http2.mlstatic.com/D_Q_NP_2X_902613-MLA79588917563_092024-E.webp
