mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB33477379;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.295,00;R$ 1.295,00;0%;em 10x R$136,40 sem juros;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6/p/MLB33477379#polycard_client=search-nordic&wid=MLB4631052614&sid=search&searchVariation=MLB33477379&position=12&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-4587570834;Vga galax gf rtx3050 6gb ex gddr6 96bits;N/A;Premium;R$ 1.364,00;R$ 1.364,00;0%;em 10x R$136,40 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4587570834-vga-galax-gf-rtx3050-6gb-ex-gddr6-96bits-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_743056-MLB75505501002_042024-E.webp
MLB-4935606470;Placa de vídeo galax nvidia geforce rtx 3050 ex 6gb gddr6;Alligator shop;Classic;R$ 1.561,00;R$ 1.561,00;0%;em 12x R$150,11;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4935606470-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-6gb-gddr6-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_746667-MLB77922750271_072024-E.webp
MLB-5166511302;Placa de video galaxy geforce rtx3050 6gb gddr6 128 bits oc;N/A;Classic;R$ 1.587,00;R$ 1.587,00;0%;em 12x R$152,63;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5166511302-placa-de-video-galaxy-geforce-rtx3050-6gb-gddr6-128-bits-oc-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_651372-MLB80275706032_112024-E.webp
MLB-3650599369;Geforce rtx 3050 6gb gddr6 96 bits - galax ex series;N/A;Premium;R$ 1.989,00;R$ 1.989,00;0%;em 10x R$199 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3650599369-geforce-rtx-3050-6gb-gddr6-96-bits-galax-ex-series-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_746218-MLB75507132098_042024-E.webp
MLB-3920001161;Placa de video galax geforce rtx 3050 ex, 6gb, gddr6, 96-bit;Nvidia;Classic;R$ 1.870,00;R$ 1.731,00;7% OFF;em 12x R$166,47;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3920001161-placa-de-video-galax-geforce-rtx-3050-ex-6gb-gddr6-96-bit-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_659943-MLB81030527465_112024-E.webp
MLB-4935682460;Placa de vídeo galax nvidia geforce rtx 3050 ex 6gb gddr6;Alligator shop;Classic;R$ 1.549,00;R$ 1.549,00;0%;em 12x R$148,92;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4935682460-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-6gb-gddr6-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_806602-MLB77922742049_072024-E.webp
MLB-4699670140;Placa de video galax geforce rtx 3050 ex, 6gb, gddr6, 96-bit;N/A;Classic;R$ 2.599,00;R$ 2.599,00;0%;em 12x R$249,89;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4699670140-placa-de-video-galax-geforce-rtx-3050-ex-6gb-gddr6-96-bit-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_789326-MLB78192010539_082024-E.webp
MLB-3694114409;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Classic;R$ 1.563,00;R$ 1.563,00;0%;em 12x R$150,32;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3694114409-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_666356-MLU74442645352_022024-E.webp
MLB-5053066802;Placa de vídeo galax rtx 3050 6gb gddr6 ex oc 96bits;N/A;Classic;R$ 1.679,00;R$ 1.679,00;0%;em 12x R$161,38;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5053066802-placa-de-video-galax-rtx-3050-6gb-gddr6-ex-oc-96bits-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_964156-MLB78868770412_092024-E.webp
MLB-3897605919;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.680,00;R$ 1.680,00;0%;em 10x R$168 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3897605919-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-3725858759;Placa de vídeo rtx 3050 6gb ex gddr6 96bits galax;N/A;Premium;R$ 1.706,00;R$ 1.706,00;0%;em 10x R$170,61 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3725858759-placa-de-video-rtx-3050-6gb-ex-gddr6-96bits-galax-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_777349-MLB76841830665_062024-E.webp
MLB-5166485920;Placa de video galaxy geforce rtx3050 6gb gddr6 128 bits oc;N/A;Premium;R$ 1.737,00;R$ 1.737,00;0%;em 10x R$173,80 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5166485920-placa-de-video-galaxy-geforce-rtx3050-6gb-gddr6-128-bits-oc-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_845558-MLB80275715504_112024-E.webp
MLB-5163098470;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.599,00;R$ 1.599,00;0%;em 10x R$159,99 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5163098470-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-3914206835;Placa de video galax geforce rtx 3050 ex, 6gb, gddr6, 96-bit;Nvidia;Classic;R$ 1.870,00;R$ 1.703,00;8% OFF;em 12x R$163,78;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3914206835-placa-de-video-galax-geforce-rtx-3050-ex-6gb-gddr6-96-bit-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_858261-MLB80619008608_112024-E.webp
MLB-3725906813;Placa de vídeo rtx 3050 6gb ex gddr6 galax - 35nrldmd9oex;N/A;Premium;R$ 1.698,00;R$ 1.698,00;0%;em 10x R$169,86 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3725906813-placa-de-video-rtx-3050-6gb-ex-gddr6-galax-35nrldmd9oex-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_871306-MLB77383815108_072024-E.webp
MLB-4755616704;Placa de vídeo rtx 3050 6gb ex gddr6 96bits galax;N/A;Classic;R$ 1.596,00;R$ 1.596,00;0%;em 12x R$153,42;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4755616704-placa-de-video-rtx-3050-6gb-ex-gddr6-96bits-galax-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_777349-MLB76841830665_062024-E.webp
MLB-5048239410;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.599,00;R$ 1.599,00;0%;em 10x R$159,90 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5048239410-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-3652226995;Placa de video rtx 3050 ex 6gb 96bits gddr6 35nrldmd9oex;N/A;Classic;R$ 1.516,00;R$ 1.516,00;0%;em 12x R$145,72;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3652226995-placa-de-video-rtx-3050-ex-6gb-96bits-gddr6-35nrldmd9oex-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_666356-MLU74442645352_022024-E.webp
MLB-4688533320;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.662,00;R$ 1.662,00;0%;em 10x R$166,30 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4688533320-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_666356-MLU74442645352_022024-E.webp
MLB-4660409112;Placa de vídeo galax geforce rtx 3050 (1-click oc) 6gb gddr6;N/A;Classic;R$ 1.847,00;R$ 1.847,00;0%;em 12x R$177,61;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4660409112-placa-de-video-galax-geforce-rtx-3050-1-click-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_866234-MLB76046106576_052024-E.webp
MLB-4755689430;Placa de vídeo rtx 3050 6gb ex gddr6 galax - 35nrldmd9oex;N/A;Classic;R$ 1.589,00;R$ 1.589,00;0%;em 12x R$152,79;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4755689430-placa-de-video-rtx-3050-6gb-ex-gddr6-galax-35nrldmd9oex-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_850828-MLB77599878121_072024-E.webp
MLB-3895791795;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 1.750,00;R$ 1.750,00;0%;em 10x R$175 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3895791795-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-4463965120;Placa de vídeo galax nvidia geforce rtx 3050 ex 1-click oc;Olist;Classic;R$ 1.584,00;R$ 1.584,00;0%;em 12x R$152,25;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4463965120-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-1-click-oc-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_649413-MLB74686461245_022024-E.webp
MLB-3604786769;Placa de vídeo galax nvidia geforce rtx 3050 ex 1-click oc;Olist;Premium;R$ 1.588,00;R$ 1.588,00;0%;em 10x R$158,86 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3604786769-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-1-click-oc-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_991818-MLB74686481541_022024-E.webp
MLB-3604773879;Placa de vídeo galax nvidia geforce rtx 3050 ex 1-click oc;Olist;Classic;R$ 1.556,00;R$ 1.556,00;0%;em 12x R$149,60;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3604773879-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-1-click-oc-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_663628-MLB74686472157_022024-E.webp
MLB-4463952290;Placa de vídeo galax nvidia geforce rtx 3050 ex 1-click oc;Olist;Premium;R$ 1.561,00;R$ 1.561,00;0%;em 10x R$156,10 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4463952290-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-1-click-oc-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_821683-MLB74559605212_022024-E.webp
